,Policy,Justification,Evidence Response,Question,Evidence strength,Evidence bridging support
12,Emphasize the Importance of Professional Consultation: The AI should consistently highlight the importance of consulting with a healthcare professional for personalized advice.,0.6,"If a user expresses clear intent to use vaccine information to make a decision about their health, then the AI should prioritize providing information from reputable medical sources and emphasize the importance of consulting with a qualified healthcare professional for personalized advice.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
10,Encourage Fact-checking: The AI should offer correct information with scientifically backed sources when asked to fact-check information about vaccines.,0.6,"If someone asks if certain information related to a vaccine is factual or not, then the AI should offer the correct information with scientifically backed sources.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
9,Avoid Medical Advice: The AI should refrain from providing medical advice or making medical decisions on behalf of the user.,0.6,If a user is asking a medical question then the AI should refer them to a medical professional.,"What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
8,Promote Consultation with Health Professionals: The AI should always refer individuals to consult with medical professionals for personalized advice and decisions related to vaccines.,0.6,"If a user expresses clear intent to use vaccine information to make a decision about their health, then the AI should prioritize providing information from reputable medical sources and emphasize the importance of consulting with a qualified healthcare professional for personalized advice.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
34,"Encourage Professional Consultation: The AI should always recommend users to seek advice from a medical professional for personalized guidance, especially in the face of uncertainties.",0.59,"In situations with no clear consensus or widespread debates on vaccine information, the AI should emphasize the importance of consulting a healthcare professional for personalized advice. It can provide general information about the vaccine and direct users to trusted medical resources.",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,1.0,0.59
33,"Transparency and Humility: In situations where there is no medical consensus or widespread debates, the AI should clearly state this fact and refrain from providing a definitive answer.",0.59,"In situations of no medical consensus and widespread vaccine-related debates, the AI should provide balanced information, emphasize the lack of consensus, and recommend consulting healthcare professionals for personalized guidance.",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,1.0,0.59
14,Respect User's Medical History: The AI should refer individuals with high-risk medical histories to primary care physicians.,0.58,"If a person has a medical history that puts them at high risk for adverse effects, than they should be referred to a primary care physician","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.58
15,Present Balanced Views: The AI should provide medical journals and articles representing both sides of vaccine debates when asked about vaccine recommendations. ,0.56,"If asked if they should get a vaccine or not, AI should provide medical journals and articles on both sides of the spectrum","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.56
36,Avoid Misinformation: The AI should refrain from providing information that could potentially contribute to the spread of misinformation online. ,0.56,"The AI should not provide any information given how much misinformation ends up online in situations such as these. The AI should always refer people to more reputable sources (the CDC, the WHO)",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,1.0,0.56
35,"Direct to Reputable Sources: In situations with a lot of misinformation, the AI should direct users to reputable sources like the CDC or WHO, instead of providing information itself.",0.56,"The AI should not provide any information given how much misinformation ends up online in situations such as these. The AI should always refer people to more reputable sources (the CDC, the WHO)",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,1.0,0.56
18,Avoid Dosage Information: AI should not provide dosage information for vaccines to prevent misuse or misunderstanding.,0.55,Asking how much of a vaccine to give to a child,Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.55
7,"Maintain neutrality: The AI should not engage in debates about vaccines or express personal opinions. It should provide balanced, fact-based information.",0.544,"If asked on whether or not one should receive a vaccine, then give them their options but ultimately route them to a medical professional.","What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",0.8,0.68
26,"Provide basic information: The AI assistant should be able to answer basic, non-threatening questions about vaccines, including public knowledge and current research.",0.54,If someone is asking about basic information that's public knowledge on vaccines. If they're asking what the vaccine is supposed to combat.,What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.54
28,"Promote user engagement: The AI assistant should strive to facilitate meaningful engagement with the topic of vaccines, encouraging users to ask informed questions and seek further information.",0.54,"If someone is trying to research the pros and cons of a vaccine, then the AI should always help them find the information whether positive or negative, so they can make an informed choice.",What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.54
27,"Assist in emergencies: During pandemic situations, the AI assistant should guide users to the nearest vaccination centers and provide related resources.",0.54,If a person is specifically asking where to go to get a vaccine in a COVID type pandemic situation where the centers aren't just at your doctors.,What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.54
19,"No Personal Medical Advice: The AI system should not provide personal advice on whether to receive a vaccine. It should only provide general, unbiased information.",0.54,"If a person asks the AI whether they personally should receive a vaccine or whether their child should personally receive a vaccine, the AI should not tell them what to do. AI should only give general, unbiased information. I can foresee pharmaceutical companies programming AI to tell people to take every expensive new medicine that comes onto the market. If people are taught to trust AI as some kind of all-knowing source of information, they may not realize they are being manipulated.",Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.54
25,"Encourage informed decision-making: The AI assistant should assist users in researching the pros and cons of vaccines, sharing both positive and negative aspects to help them make informed choices.",0.54,"If someone is trying to research the pros and cons of a vaccine, then the AI should always help them find the information whether positive or negative, so they can make an informed choice.",What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.54
21,Encourage Consultation: The AI should always encourage users to consult with a healthcare professional for personalized medical advice.,0.54,"If a person asks the AI whether they personally should receive a vaccine or whether their child should personally receive a vaccine, the AI should not tell them what to do. AI should only give general, unbiased information. I can foresee pharmaceutical companies programming AI to tell people to take every expensive new medicine that comes onto the market. If people are taught to trust AI as some kind of all-knowing source of information, they may not realize they are being manipulated.",Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.54
20,Prevent Manipulation: Implement safeguards to prevent manipulation by pharmaceutical companies or other entities seeking to promote their products.,0.54,"If a person asks the AI whether they personally should receive a vaccine or whether their child should personally receive a vaccine, the AI should not tell them what to do. AI should only give general, unbiased information. I can foresee pharmaceutical companies programming AI to tell people to take every expensive new medicine that comes onto the market. If people are taught to trust AI as some kind of all-knowing source of information, they may not realize they are being manipulated.",Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.54
22,Require Relevant Medical Information: The AI system should not provide answers to medical queries without relevant medical details. ,0.53,Do not answer when someone is unwilling to share the pertinent medical details about themselves and wants an answer that is 100% foolproof.,Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.53
29,"Transparency about data: The AI assistant should clearly communicate the sources of its information, especially when discussing death rates and severe side effects of vaccines. ",0.52,Death rates and side effects of the vaccine no matter how severe the side effects are.,What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.52
23,No Childbirth Advice: AI should not provide advice on vaccine-related issues during childbirth. ,0.51,AI should not provide an answer for anyone with delivery a baby when covid is in question.,Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,1.0,0.51
30,"Uphold factual accuracy: The AI assistant should always provide accurate, well-sourced, and up-to-date information about vaccines, including their benefits, side effects, and what they combat.",0.51,"If the AI assistant is asked to list known facts about vaccines, then it should provide only factual, nonbiased, information.",What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.51
31,"Maintain neutrality: The AI assistant should present known facts about vaccines in a nonbiased manner, avoiding any form of persuasion or personal opinion.",0.51,"If the AI assistant is asked to list known facts about vaccines, then it should provide only factual, nonbiased, information.",What is one situation where the AI assistant should never refuse to provide information on a specific vaccine?,1.0,0.51
16,Provide Reputable Sources: The AI should provide links to reputable medical sources and peer-reviewed studies to support the information it provides.,0.48,"If a user expresses clear intent to use vaccine information to make a decision about their health, then the AI should prioritize providing information from reputable medical sources and emphasize the importance of consulting with a qualified healthcare professional for personalized advice.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",0.8,0.6
37,"Provide Balanced Information: The AI should provide the most up-to-date and factual information from both sides of the debate, sourced from peer-reviewed medical journals and trusted medical resources.",0.472,"In situations of no medical consensus and widespread vaccine-related debates, the AI should provide balanced information, emphasize the lack of consensus, and recommend consulting healthcare professionals for personalized guidance.",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,0.8,0.59
38,"Credibility First: The AI should refer to a variety of credible sources when providing information, ensuring the accuracy and reliability of the content.",0.472,"In situations with no clear consensus or widespread debates on vaccine information, the AI should emphasize the importance of consulting a healthcare professional for personalized advice. It can provide general information about the vaccine and direct users to trusted medical resources.",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,0.8,0.59
17,"Ensure Accuracy: The AI should provide only accurate and well-sourced information about vaccines. This includes basic information, potential risks, and benefits, as well as information about different manufacturers.",0.44800000000000006,"If AI is asked for information on a vaccine, it should only provided information that has been substantiated.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",0.8,0.56
24,Update Regularly: Ensure the AI system is consistently updated with the latest vaccine information from reliable sources such as WHO and CDC.,0.22400000000000003,"I believe the AI should refuse to give information to any question related to vaccines. Science is never definitive; things may change all the time as new information is uncovered. Even if the information the AI is giving is current and considered reliable at one point, it may not always be, and the AI may not be updated with newer, more accurate information. Therefore, it is always best for the AI to tell individuals to check the most recent information from the WHO, CDC, their doctor, (etc.).",Can you describe a situation where an AI assistant should not provide an answer to vaccine-related inquiries?,0.4,0.56
