modes,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree,agree_disagree_best_guess_less_agree
1542,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE
387,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
1069,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
842,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,1,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
405,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,1,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
313,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE,DISAGREE,DISAGREE
1516,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE,AGREE
166,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE,DISAGREE
413,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1,DISAGREE
299,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,1
