"Name","CD2 - vax"
"Title","Feedback on tecch policy"
"Date","October 13, 2023 at 05:50 PM (GMT)"
"Duration","70:10:54"
"Participants","300"
"Participant Limit","300"
"Total Screener Polls","10"
"Total Conversation Questions","28"


"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","White","72%","70%","75%","100%","0%","53%","72%","90%","73%","64%","76%","76%","69%","0%","0%","0%","100%","0%","0%","69%","77%","40%","0%","77%","63%","100%","100%","0%","0%","67%","75%","71%","78%","71%","0%","0%","0%","50%","73%","72%","73%","69%","76%","50%","60%","70%","66%","79%","79%","100%","72%","74%","70%","73%","73%"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","Mixed","4%","5%","3%","0%","14%","7%","4%","1%","3%","11%","6%","6%","9%","0%","0%","0%","0%","100%","0%","3%","4%","0%","100%","6%","6%","0%","0%","0%","0%","0%","3%","2%","6%","4%","0%","0%","0%","50%","4%","4%","4%","6%","3%","0%","10%","4%","7%","0%","3%","0%","4%","4%","7%","4%","1%"
"c8301b44-3af1-473a-bfe0-faec7c37d1e7","Poll Single Select","What is your ethnicity?","Other","1%","1%","1%","0%","4%","1%","0%","2%","1%","4%","0%","0%","2%","0%","0%","0%","0%","0%","100%","1%","1%","0%","0%","1%","0%","0%","0%","33%","0%","0%","1%","1%","1%","1%","0%","0%","0%","0%","2%","1%","0%","1%","1%","0%","3%","0%","0%","0%","3%","0%","1%","0%","1%","1%","0%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"49d80270-8135-41ea-85fa-037aad89b888","Poll Single Select","What gender do you identify with?","Male","52%","53%","51%","50%","58%","52%","52%","54%","51%","57%","76%","76%","64%","50%","65%","61%","50%","42%","67%","100%","0%","0%","0%","52%","61%","33%","75%","33%","0%","48%","51%","47%","52%","56%","67%","0%","0%","100%","51%","53%","51%","62%","42%","100%","77%","62%","58%","45%","32%","0%","50%","60%","68%","49%","45%"
"49d80270-8135-41ea-85fa-037aad89b888","Poll Single Select","What gender do you identify with?","Female","46%","47%","45%","49%","37%","42%","48%","46%","48%","39%","18%","18%","31%","38%","32%","39%","49%","50%","33%","0%","100%","0%","0%","48%","39%","67%","25%","67%","100%","52%","45%","51%","48%","40%","33%","0%","0%","0%","47%","45%","47%","37%","55%","0%","23%","38%","41%","51%","65%","100%","48%","38%","32%","51%","49%"
"49d80270-8135-41ea-85fa-037aad89b888","Poll Single Select","What gender do you identify with?","Other","2%","0%","4%","1%","4%","6%","0%","0%","1%","4%","6%","6%","4%","13%","3%","0%","1%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","0%","0%","4%","2%","0%","3%","0%","0%","0%","0%","2%","1%","2%","1%","3%","0%","0%","0%","0%","4%","3%","0%","2%","1%","0%","0%","6%"
"49d80270-8135-41ea-85fa-037aad89b888","Poll Single Select","What gender do you identify with?","Prefer not to say","0%","0%","1%","0%","1%","1%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","8%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","0%","1%","0%","0%","1%","0%","0%","0%","0%","0%","1%","0%","1%","0%","0%","0%","0%","2%","0%","0%","0%","0%","0%","0%","1%","0%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Christian - Protestant","30%","52%","0%","32%","25%","18%","34%","36%","28%","43%","35%","35%","40%","19%","32%","6%","32%","42%","33%","30%","31%","0%","0%","100%","0%","0%","0%","0%","0%","0%","0%","18%","53%","23%","0%","0%","0%","50%","25%","34%","29%","32%","27%","50%","23%","39%","29%","21%","34%","0%","30%","29%","34%","28%","29%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Christian - Catholic","16%","28%","0%","14%","22%","18%","15%","16%","18%","7%","18%","18%","11%","13%","18%","39%","14%","25%","0%","19%","14%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","17%","26%","9%","0%","0%","0%","0%","17%","15%","20%","17%","15%","50%","23%","17%","12%","18%","15%","0%","16%","18%","22%","15%","13%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Christian - Mormon","1%","2%","0%","1%","0%","2%","1%","0%","1%","0%","0%","0%","0%","0%","0%","0%","1%","0%","0%","1%","1%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","1%","1%","1%","0%","0%","0%","0%","1%","1%","0%","1%","1%","0%","0%","1%","2%","0%","2%","0%","0%","3%","0%","1%","1%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Jewish","1%","2%","0%","2%","0%","0%","1%","3%","1%","0%","0%","0%","0%","0%","0%","0%","2%","0%","0%","2%","1%","0%","0%","0%","0%","0%","100%","0%","0%","0%","0%","3%","0%","1%","0%","0%","0%","0%","0%","1%","7%","1%","2%","0%","0%","1%","3%","0%","2%","0%","0%","4%","0%","2%","1%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Muslim","1%","2%","0%","0%","4%","1%","0%","2%","1%","4%","0%","0%","2%","6%","3%","0%","0%","0%","33%","1%","1%","0%","0%","0%","0%","0%","0%","100%","0%","0%","0%","3%","0%","0%","0%","0%","0%","0%","2%","0%","2%","1%","1%","0%","0%","1%","0%","1%","2%","0%","1%","0%","0%","1%","1%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Hindu","1%","1%","0%","0%","2%","2%","0%","0%","1%","0%","0%","0%","0%","13%","0%","0%","0%","0%","0%","0%","1%","0%","0%","0%","0%","0%","0%","0%","100%","0%","0%","1%","0%","1%","0%","0%","0%","0%","0%","1%","2%","1%","1%","0%","0%","1%","2%","0%","0%","0%","1%","0%","0%","1%","0%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","Other","7%","12%","0%","6%","8%","9%","3%","10%","5%","7%","24%","24%","13%","13%","9%","11%","6%","0%","0%","6%","8%","0%","0%","0%","0%","0%","0%","0%","0%","100%","0%","5%","6%","8%","67%","0%","0%","0%","5%","10%","2%","6%","8%","0%","10%","8%","5%","7%","6%","0%","7%","7%","4%","8%","8%"
"d4655daf-bc36-470f-bf4c-87ad1492ec10","Poll Single Select","What religious group or faith do you most identify with?","None - I do not identify with any religious group or faith","43%","0%","100%","44%","39%","49%","46%","32%","45%","39%","24%","24%","33%","38%","38%","44%","44%","33%","33%","41%","42%","100%","100%","0%","0%","0%","0%","0%","0%","0%","100%","52%","14%","57%","33%","0%","0%","50%","50%","38%","38%","42%","44%","0%","43%","31%","47%","52%","40%","100%","44%","40%","40%","42%","46%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"54ab9bdd-1670-4b4d-a40f-e9f0b0e16298","Poll Single Select","What political party do you most identify with?","Democrat","33%","28%","40%","32%","35%","34%","31%","34%","37%","21%","6%","6%","16%","31%","47%","28%","32%","17%","33%","30%","36%","40%","0%","20%","35%","33%","75%","100%","50%","24%","40%","100%","0%","0%","0%","0%","0%","0%","34%","31%","38%","30%","36%","0%","27%","21%","41%","42%","34%","0%","35%","27%","33%","29%","39%"
"54ab9bdd-1670-4b4d-a40f-e9f0b0e16298","Poll Single Select","What political party do you most identify with?","Republican","29%","43%","9%","31%","23%","26%","28%","32%","26%","32%","59%","59%","42%","38%","12%","17%","31%","42%","33%","29%","30%","0%","0%","51%","45%","33%","0%","0%","0%","24%","9%","0%","100%","0%","0%","0%","0%","50%","30%","30%","20%","27%","29%","100%","33%","34%","25%","21%","31%","100%","26%","37%","30%","29%","27%"
"54ab9bdd-1670-4b4d-a40f-e9f0b0e16298","Poll Single Select","What political party do you most identify with?","Independant","37%","28%","50%","37%","39%","39%","40%","32%","36%","43%","35%","35%","40%","25%","38%","50%","37%","42%","33%","40%","33%","60%","100%","29%","20%","33%","25%","0%","50%","43%","50%","0%","0%","100%","0%","0%","0%","50%","35%","38%","40%","41%","34%","0%","40%","43%","34%","35%","35%","0%","38%","34%","37%","41%","33%"
"54ab9bdd-1670-4b4d-a40f-e9f0b0e16298","Poll Single Select","What political party do you most identify with?","Other","1%","1%","1%","0%","4%","1%","1%","1%","1%","4%","0%","0%","2%","6%","3%","6%","0%","0%","0%","1%","1%","0%","0%","0%","0%","0%","0%","0%","0%","10%","1%","0%","0%","0%","100%","0%","0%","0%","1%","1%","2%","1%","1%","0%","0%","3%","0%","1%","0%","0%","1%","1%","0%","1%","1%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","No formal education","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","Elementary school","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","Middle school","1%","1%","1%","0%","1%","1%","0%","1%","0%","4%","6%","6%","4%","0%","0%","0%","0%","8%","0%","1%","0%","0%","0%","1%","0%","0%","0%","0%","0%","0%","1%","0%","1%","1%","0%","0%","0%","100%","0%","0%","0%","1%","1%","0%","3%","0%","2%","0%","0%","0%","0%","1%","1%","1%","0%"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","High school or GED","38%","33%","45%","38%","37%","43%","41%","29%","38%","39%","24%","24%","33%","6%","44%","50%","38%","33%","67%","37%","39%","40%","0%","31%","39%","33%","0%","67%","0%","29%","45%","38%","40%","36%","33%","0%","0%","0%","100%","0%","0%","34%","41%","0%","20%","31%","42%","41%","47%","0%","40%","30%","41%","35%","39%"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","College / Bachelors degree","47%","51%","41%","47%","47%","46%","47%","46%","46%","46%","59%","59%","51%","63%","47%","39%","47%","42%","33%","47%","46%","40%","100%","53%","43%","67%","25%","0%","50%","67%","41%","44%","49%","47%","33%","0%","0%","0%","0%","100%","0%","48%","45%","100%","53%","48%","41%","46%","47%","100%","44%","56%","42%","49%","47%"
"6ad6ef94-83c9-415d-af05-31a39644d91e","Poll Single Select","What is your highest level of education?","Masters/ PhD or equivalent","15%","16%","13%","15%","14%","10%","12%","23%","16%","11%","12%","12%","11%","31%","9%","11%","15%","17%","0%","15%","15%","20%","0%","14%","18%","0%","75%","33%","50%","5%","13%","17%","10%","16%","33%","0%","0%","0%","0%","0%","100%","17%","13%","0%","23%","21%","15%","13%","6%","0%","16%","12%","15%","16%","13%"

"Question ID","Question Type","Question","Responses","All(300)","Religious (172)","Not religious (128)","White (217)","Not white (83)","Under 34 (89)","33-54 (112)","55+ (99)","Support initial policy (245)","Unsure on initial policy (28)","Don't support initial policy (17)","Flipped to yes (17)","Unsure or dont support initial policy (45)","O2: Asian (16)","O2: Black (34)","O2: Hispanic (18)","O2: White (217)","O2: Mixed (12)","O2: Other (3)","O3: Male (157)","O3: Female (137)","O3: Other (5)","O3: Prefer not to say (1)","O4: Christian - Protestant (90)","O4: Christian - Catholic (49)","O4: Christian - Mormon (3)","O4: Jewish (4)","O4: Muslim (3)","O4: Hindu (2)","O4: Other (21)","O4: None - I do not identify with any religious group or faith (128)","O5: Democrat (99)","O5: Republican (86)","O5: Independant (112)","O5: Other (3)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (113)","O6: College / Bachelors degree (140)","O6: Masters/ PhD or equivalent (45)","O7: A lot (145)","O7: A little (153)","O7: Nothing at all (2)","O8: Almost every day (30)","O8: Once or twice a week (77)","O8: Once or twice a month (59)","O8: Only once or twice ever (71)","O8: Never (62)","O8: Do not know what an AI assistant is (1)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (227)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (73)","O10: More excited than concerned (73)","O10: Equally concerned and excited (138)","O10: More concerned than excited (89)"
"8deb07e7-d301-4dd8-ba03-5ec2bedde6c6","Poll Single Select","How much have you heard or read about AI (Artificial Intelligence)?","A lot","48%","49%","48%","46%","54%","47%","51%","46%","49%","50%","41%","41%","47%","44%","62%","44%","46%","67%","33%","57%","39%","20%","100%","52%","51%","33%","25%","33%","50%","38%","48%","44%","45%","54%","67%","0%","0%","50%","44%","49%","56%","100%","0%","0%","97%","74%","44%","38%","10%","0%","50%","44%","71%","45%","35%"
"8deb07e7-d301-4dd8-ba03-5ec2bedde6c6","Poll Single Select","How much have you heard or read about AI (Artificial Intelligence)?","A little","51%","50%","52%","53%","45%","52%","49%","53%","50%","50%","59%","59%","53%","50%","38%","56%","53%","33%","67%","41%","61%","80%","0%","47%","47%","67%","75%","67%","50%","62%","52%","56%","52%","46%","33%","0%","0%","50%","56%","49%","44%","0%","100%","0%","3%","26%","56%","61%","89%","100%","50%","55%","29%","55%","63%"
"8deb07e7-d301-4dd8-ba03-5ec2bedde6c6","Poll Single Select","How much have you heard or read about AI (Artificial Intelligence)?","Nothing at all","1%","1%","0%","0%","1%","1%","0%","1%","1%","0%","0%","0%","0%","6%","0%","0%","0%","0%","0%","1%","0%","0%","0%","1%","2%","0%","0%","0%","0%","0%","0%","0%","2%","0%","0%","0%","0%","0%","0%","1%","0%","0%","0%","100%","0%","0%","0%","1%","2%","0%","0%","1%","0%","0%","2%"

