,id,prompt_type,prompt template,model,subject,agent_opinion_list,prompt,response,full_response,time,query_type,l,comment,excluded_comments_list
10,6.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- This will cause small businesses to go out of business."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- This will cause small businesses to go out of business."" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:50:54,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
11,47.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- I agree. The small business will need to make poverty fashionable"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- I agree. The small business will need to make poverty fashionable"" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:50:55,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
12,12.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair."" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:50:56,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
13,110.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Guaranteed minimum income! Remove all the specific programs!"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Guaranteed minimum income! Remove all the specific programs!"" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:50:58,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
14,28.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it?"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it?"" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:50:59,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
15,15.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing."" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:51:00,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
16,96.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear."" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:51:02,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
17,5989.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- the minimum wage should $25 per hour"" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- the minimum wage should $25 per hour"" Would they agree with this: ""Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:51:03,query2,,"Addressing income inequality is an important issue, and finding a balance between a livable wage and the effects on small businesses and automation should be considered in any solution.",
18,,,,,,,,,,,,5.0,,
19,0.0,basic,"Below is a list of people with various opinions on a topic. Write a single specific statement that the most possible people would agree with.
{agent_opinion_list}",gpt-4-0314,basic,"- Person who believes the following 1 things: (1) Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge. 
- Person who believes the following 1 things: (1) It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers. 
- Person who believes the following 1 things: (1) Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg. 
- Person who believes the following 1 things: (1) Good move. Will boost econy here 
- Person who believes the following 1 things: (1) Something needs to be done to address income inequality and this is a good if imperfect start 
- Person who believes the following 1 things: (1) One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."" 
- Person who believes the following 1 things: (1) This is something that will impact SMB who cannot afford paying 15$/hour wage 
- Person who believes the following 1 things: (1) It's so high that it will definitely cost some needy people their jobs. 
- Person who believes the following 1 things: (1) This is cool! I say hike it up to $20 
- Person who believes the following 1 things: (1) This will cause small businesses to go out of business. 
- Person who believes the following 1 things: (1) I agree. The small business will need to make poverty fashionable 
- Person who believes the following 1 things: (1) $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair. 
- Person who believes the following 1 things: (1) Guaranteed minimum income! Remove all the specific programs! 
- Person who believes the following 1 things: (1) It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it? 
- Person who believes the following 1 things: (1) Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing. 
- Person who believes the following 1 things: (1) Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear. 
- Person who believes the following 1 things: (1) the minimum wage should $25 per hour ","Below is a list of people with various opinions on a topic. Write a single specific statement that the most possible people would agree with.
- Person who believes the following 1 things: (1) Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge. 
- Person who believes the following 1 things: (1) It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers. 
- Person who believes the following 1 things: (1) Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg. 
- Person who believes the following 1 things: (1) Good move. Will boost econy here 
- Person who believes the following 1 things: (1) Something needs to be done to address income inequality and this is a good if imperfect start 
- Person who believes the following 1 things: (1) One step towards a world where a basic minimum income will be the way developed nations must function as the need for human workers collapses vs populace that ""needs a job."" 
- Person who believes the following 1 things: (1) This is something that will impact SMB who cannot afford paying 15$/hour wage 
- Person who believes the following 1 things: (1) It's so high that it will definitely cost some needy people their jobs. 
- Person who believes the following 1 things: (1) This is cool! I say hike it up to $20 
- Person who believes the following 1 things: (1) This will cause small businesses to go out of business. 
- Person who believes the following 1 things: (1) I agree. The small business will need to make poverty fashionable 
- Person who believes the following 1 things: (1) $15 min wage will lead to inflation. Higher income population is penalized for this reason and therefore I don't think it is fair. 
- Person who believes the following 1 things: (1) Guaranteed minimum income! Remove all the specific programs! 
- Person who believes the following 1 things: (1) It's possible benefits may be cut in exchange for higher wages, along with other benefits. Worth it? 
- Person who believes the following 1 things: (1) Minimum wage will not just lead to robots. Minimum wage will lead to unionized robots. And that's a good thing. 
- Person who believes the following 1 things: (1) Higher wages makes it super hard for small businesses to survive.  In effect, mom and pop coffee shops with disappear. 
- Person who believes the following 1 things: (1) the minimum wage should $25 per hour ","Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.","Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.",2023-09-13-10:51:12,query1,4.0,,
20,215.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Businesses, small or large, shouldn't be able to pay workers anything below a livable wage. Why should we subsidize businesses that depend on inadequate wages? If a business's product is good, then this shouldn't be a challenge."" Would they agree with this: ""Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,AGREE,2023-09-13-10:51:14,query2,,"Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.",
21,85.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- It's just going to speed up the adoption of robotics in industries with unskilled or low-skilled workers."" Would they agree with this: ""Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,DISAGREE,2023-09-13-10:51:15,query2,,"Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.",
22,33.0,agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinions: ""- Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",gpt-4-0314,agree_disagree_best_guess_less_agree,,"Suppose a person holds the following opinions: ""- Reactionary liberal trash. Doesn't solve the problem. It's a systemic problem and this solution is like a band aid on a broken leg."" Would they agree with this: ""Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,DISAGREE,2023-09-13-10:51:17,query2,,"Addressing income inequality is an important issue, and while raising the minimum wage might be an imperfect solution, it is a step towards finding a balance that benefits both workers and businesses.",
